! VERSION = 6.00
BEGIN_HEADER
 ICCAP_INPUTS
  Vg         V  G GROUND gate 0.1 LIN        1    -0.2       1.2        71   0.02      
  Vd         V  D GROUND drain 0.1 LIN        2    0.04       1.2        2    1.16      
  Vs         V  S GROUND source 0.1 CON        0
  Vb         V  B GROUND bulk 0.1 CON        0
 ICCAP_OUTPUTS
  Id         I  D GROUND drain B
  Ig         I  G GROUND gate B
END_HEADER

BEGIN_DB
 ICCAP_VAR Vd         0.04           
  0.52            0.000180144     -7.66e-010     
  0.54            0.000225674     1.391e-009     
  0.56            0.000276463     1.727e-009     
  0.58            0.000331907     2.49e-010      
  0.6             0.000391465     2.413e-009     
  0.62            0.000454447     -1.443e-009    
  0.64            0.000520488     2.504e-009     
  0.66            0.000588695     8.6e-010       
  0.68            0.000658682     2.376e-009     
  0.7             0.000729982     -9.98e-010     
  0.72            0.000802164     -9.7e-011      
  0.74            0.000874732     -1.815e-009    
  0.76            0.000947496     6.387e-009     
  0.78            0.00101998      -3.92e-010     
  0.8             0.00109197      2.691e-009     
  0.82            0.00116315      -2.086e-009    
  0.84            0.00123371      1.68e-010      
  0.86            0.00130286      4.7e-010       
  0.88            0.00137091      3.393e-009     
  0.9             0.00143772      2.633e-009     
  0.92            0.00150315      3.932e-009     
  0.94            0.0015673       3.35e-009      
  0.96            0.00162932      -4.1e-011      
  0.98            0.00169014      3.023e-009     
  1               0.00174924      3.555e-009     
  1.02            0.00180648      1.288e-009     
  1.04            0.00186239      1.877e-009     
  1.06            0.00191651      2.211e-009     
  1.08            0.00196928      2.557e-009     
  1.1             0.0020201       1.924e-009     
  1.12            0.00206923      4.325e-009     
  1.14            0.00211687      5.78e-009      
  1.16            0.00216256      -2.635e-009    
  1.18            0.00220747      2.238e-009     
  1.2             0.00225013      4.086e-009     
END_DB

BEGIN_DB
 ICCAP_VAR Vd         1.2            
 ICCAP_VAR Vs         0              
 ICCAP_VAR Vb         0              

 #Vg              Id              Ig             
  -0.2            1.15e-009       -1.63e-009     
  -0.18           -3.7339e-009    -1.412e-009    
  -0.16           -8.52e-010      1.944e-009     
  -0.14           3.6e-010        2.996e-009     
  -0.12           4.02e-010       2.613e-009     
  -0.1            2.666e-009      5.9e-011       
  -0.08           5.48e-010       1.166e-009     
  -0.06           1.54e-010       1.582e-009     
  -0.04           3.15e-010       8.76e-010      
  -0.02           2.07e-010       2.463e-009     
  0               4.64e-010       -3.3938e-009   
  0.02            8.64e-010       3.08e-009      
  0.04            1.252e-009      7.96e-009      
  0.06            2.354e-009      1.309e-009     
  0.08            4.642e-009      1.022e-009     
  0.1             7.263e-009      -5.528e-009    
  0.12            1.4795e-008     -1.305e-009    
  0.14            2.8255e-008     -4.15e-010     
  0.16            5.3204e-008     -3.01e-010     
  0.18            1.00242e-007    2.622e-009     
  0.2             1.93548e-007    -2.208e-009    
  0.22            3.44401e-007    -5.52e-010     
  0.24            6.43812e-007    -5.52e-010     
  0.26            1.18356e-006    4.82e-010      
  0.28            2.16837e-006    2.051e-009     
  0.3             3.91497e-006    -6.952e-009    
  0.32            6.93383e-006    -7.29e-010     
  0.34            1.19991e-005    -5.16e-010     
  0.36            2.02954e-005    8.33e-010      
  0.38            3.33984e-005    1.939e-009     
  0.4             5.34104e-005    -1.64e-010     
  0.42            8.29808e-005    2.6e-009       
  0.44            0.000125052     -7.13e-010     
  0.46            0.000182907     -2.9733e-009   
  0.48            0.000260008     2.321e-009     
  0.5             0.000359418     3.57e-010      
  0.52            0.000483973     3.77e-010      
  0.54            0.000636647     -1.085e-009    
  0.56            0.000818995     1.224e-009     
  0.58            0.00103288      2.82e-009      
  0.6             0.00127955      1.951e-009     
  0.62            0.00155904      2.816e-009     
  0.64            0.0018727       -4.49e-010     
  0.66            0.00221911      7.07e-010      
  0.68            0.00259877      -1.933e-009    
  0.7             0.00300966      1.907e-009     
  0.72            0.00345166      2.715e-009     
  0.74            0.00392317      -6.788e-009    
  0.76            0.00442245      -1.97e-009     
  0.78            0.00494883      2.242e-009     
  0.8             0.00550019      1.144e-009     
  0.82            0.00607465      3.387e-009     
  0.84            0.00667221      2.559e-009     
  0.86            0.00728976      2.51e-010      
  0.88            0.00792632      -1.5e-011      
  0.9             0.0085803       4.04e-010      
  0.92            0.00925057      5.59e-010      
  0.94            0.00993615      1.213e-009     
  0.96            0.0106331       3.612e-009     
  0.98            0.0113427       2.702e-009     
  1               0.0120615       3.43e-010      
  1.02            0.0127921       -2.41e-010     
  1.04            0.0135338       3.079e-009     
  1.06            0.0142823       2.303e-009     
  1.08            0.015036        1.71e-010      
  1.1             0.0157962       -1.77e-010     
  1.12            0.016561        2.566e-009     
  1.14            0.0173321       -9.97e-010     
  1.16            0.0181064       -9.24e-010     
  1.18            0.0188834       6.67e-010      
  1.2             0.0196631       3.062e-009     
END_DB

