! VERSION = 6.00
BEGIN_HEADER
 ICCAP_INPUTS
  Vg         V  G GROUND gate 0.1 LIN        1    -0.2       1.2        71   0.02      
  Vd         V  D GROUND drain 0.1 LIN        2    0.04       1.2        2    1.16      
  Vs         V  S GROUND source 0.1 CON        0
  Vb         V  B GROUND bulk 0.1 CON        0
 ICCAP_OUTPUTS
  Id         I  D GROUND drain B
  Ig         I  G GROUND gate B
END_HEADER

BEGIN_DB
 ICCAP_VAR Vd         0.04           
 ICCAP_VAR Vs         0              
 ICCAP_VAR Vb         0              

 #Vg              Id              Ig             
  -0.2            2.18e-010       -5.95e-010     
  -0.18           -6.854e-009     -6.8e-011      
  -0.16           -1.6e-011       7.124e-009     
  -0.14           3.07e-010       -1.542e-009    
  -0.12           -7.4e-011       6.87e-010      
  -0.1            2.34e-010       2.352e-009     
  -0.08           -3.17e-010      -6.862e-009    
  -0.06           -2.1e-011       -2.125e-009    
  -0.04           -3.06e-010      4.409e-009     
  -0.02           3.49e-010       2.708e-009     
  0               2.25e-010       2.72e-009      
  0.02            4.82e-010       -1.177e-009    
  0.04            7.17e-010       9.92e-010      
  0.06            5.3785e-009     2.262e-009     
  0.08            4.08e-010       2.85e-009      
  0.1             4.309e-009      2.653e-009     
  0.12            8.659e-009      2.722e-009     
  0.14            1.5442e-008     1.46e-010      
  0.16            3.0001e-008     1.36e-010      
  0.18            5.2976e-008     -6.63e-010     
  0.2             9.8e-008        -7.62e-010     
  0.22            1.84545e-007    2.508e-009     
  0.24            3.41302e-007    2.11e-010      
  0.26            6.25038e-007    -9.59e-010     
  0.28            1.13133e-006    1.424e-009     
  0.3             2.01572e-006    2.6e-011       
  0.32            3.52165e-006    6.94e-010      
  0.34            6.01014e-006    -6.76e-009     
  0.36            9.97578e-006    2.419e-009     
  0.38            1.60718e-005    2.31e-010      
  0.4             2.50963e-005    -5.42e-010     
  0.42            3.78521e-005    -7.4e-011      
  0.44            5.51634e-005    2.228e-009     
  0.46            7.77359e-005    -3.416e-009    
  0.48            0.00010599      -6.167e-009    
  0.5             0.000140126     3.207e-009     
