! VERSION = 6.00
BEGIN_HEADER
 ICCAP_INPUTS
  Vg         V  G GROUND gate 0.1 LIN        1    -0.2       1.2        71   0.02      
  Vd         V  D GROUND drain 0.1 LIN        2    0.04       1.2        2    1.16      
  Vs         V  S GROUND source 0.1 CON        0
  Vb         V  B GROUND bulk 0.1 CON        0
 ICCAP_OUTPUTS
  Id         I  D GROUND drain B
  Ig         I  G GROUND gate B
END_HEADER

BEGIN_DB
 ICCAP_VAR Vd         0.04           
 ICCAP_VAR Vs         0              
 ICCAP_VAR Vb         0              

 #Vg              Id              Ig             
  -0.2            2.282e-009      -1.498e-009    
  -0.18           4.66e-010       -6.78e-010     
  -0.16           1.78e-010       5.267e-009     
  -0.14           -6.237e-009     1.984e-009     
  -0.12           6.2e-010        -2.138e-009    
  -0.1            -6.968e-009     1.639e-009     
  -0.08           -6.8e-011       -2.015e-009    
  -0.06           -6.4e-011       6.601e-009     
  -0.04           -7.009e-009     1.423e-009     
  -0.02           1.38e-010       -2.008e-009    
  0               1.75e-010       2.8657e-009    
  0.02            7.07e-010       -2.477e-009    
  0.04            6.89e-010       6.474e-009     
  0.06            -2.7289e-009    -1.086e-009    
  0.08            4.02e-010       2.89e-010      
  0.1             3.683e-009      8.15e-010      
  0.12            7.225e-009      -2.7582e-009   
  0.14            1.3949e-008     3.382e-009     
  0.16            2.5531e-008     2.334e-009     
  0.18            4.7901e-008     -9e-010        
  0.2             8.7916e-008     -3.95e-010     
  0.22            1.65651e-007    2.454e-009     
  0.24            3.07004e-007    -5.235e-009    
  0.26            5.6442e-007     -2.318e-009    
  0.28            1.02511e-006    -7.463e-009    
  0.3             1.83424e-006    2.325e-009     
  0.32            3.21259e-006    -8.59e-010     
  0.34            5.48755e-006    4.38e-010      
  0.36            9.10495e-006    2.455e-009     
  0.38            1.46162e-005    -3e-012        
  0.4             2.26466e-005    1.634e-009     
  0.42            3.38507e-005    -9.3e-010      
  0.44            4.87636e-005    -2.276e-009    
  0.46            6.78387e-005    1.504e-009     
  0.48            9.12913e-005    1.066e-009     
  0.5             0.000119154     2.015e-009     
