! VERSION = 6.00
BEGIN_HEADER
 ICCAP_INPUTS
  Vg         V  G GROUND gate 0.1 LIN        1    -0.2       1.2        71   0.02      
  Vd         V  D GROUND drain 0.1 LIN        2    0.04       1.2        2    1.16      
  Vs         V  S GROUND source 0.1 CON        0
  Vb         V  B GROUND bulk 0.1 CON        0
 ICCAP_OUTPUTS
  Id         I  D GROUND drain B
  Ig         I  G GROUND gate B
END_HEADER

BEGIN_DB
 ICCAP_VAR Vd         0.04           
  0.52            0.00021582      6.679e-009     
  0.54            0.000272996     -1.042e-009    
  0.56            0.000337184     1.768e-009     
  0.58            0.000407953     8.57e-010      
  0.6             0.000484265     2.349e-009     
  0.62            0.000565536     -6.445e-009    
  0.64            0.000650559     -2.072e-009    
  0.66            0.000738939     -1.485e-009    
  0.68            0.000829822     6.823e-009     
  0.7             0.000922521     1.529e-009     
  0.72            0.0010162       -4.63e-010     
  0.74            0.00111044      2.92e-010      
  0.76            0.00120475      6.09e-010      
  0.78            0.00129882      4.95e-010      
  0.8             0.00139225      1.27e-010      
  0.82            0.0014848       1.706e-009     
  0.84            0.00157553      1.657e-009     
  0.86            0.00166552      -1.5e-010      
  0.88            0.00175299      1.05e-010      
  0.9             0.00183863      8.05e-010      
  0.92            0.00192312      3.071e-009     
  0.94            0.00200521      -7.35e-010     
  0.96            0.00208508      1.99e-010      
  0.98            0.00216243      2.597e-009     
  1               0.00223763      3.456e-009     
  1.02            0.00231054      1.535e-009     
  1.04            0.00238264      1.42e-009      
  1.06            0.00245086      -1.16e-010     
  1.08            0.0025183       6.113e-009     
  1.1             0.00258245      4.502e-009     
  1.12            0.00264492      -1.763e-009    
  1.14            0.00270467      4.723e-009     
  1.16            0.00276276      1.756e-009     
  1.18            0.00281935      5.298e-009     
  1.2             0.0028735       8.906e-009     
END_DB

BEGIN_DB
 ICCAP_VAR Vd         1.2            
 ICCAP_VAR Vs         0              
 ICCAP_VAR Vb         0              

 #Vg              Id              Ig             
  -0.2            -1.596e-009     2.439e-009     
  -0.18           5.95e-010       3.026e-009     
  -0.16           -7.3e-011       6.963e-009     
  -0.14           -4.418e-009     1.691e-009     
  -0.12           1.166e-009      2.517e-009     
  -0.1            4.1206e-009     2.573e-009     
  -0.08           -1.055e-009     4.23e-010      
  -0.06           1.08e-010       1.599e-009     
  -0.04           3.083e-009      -2.18e-010     
  -0.02           -2.246e-009     2.9e-011       
  0               5.08e-010       -4.543e-009    
  0.02            6.63e-010       -1.485e-009    
  0.04            1.552e-009      -1.1e-009      
  0.06            2.957e-009      6.651e-009     
  0.08            3.78e-010       3.73e-010      
  0.1             1.0534e-008     -2.017e-009    
  0.12            1.4553e-008     1.018e-009     
  0.14            3.4006e-008     1.883e-009     
  0.16            7.62713e-008    2.493e-009     
  0.18            1.10435e-007    4.2393e-009    
  0.2             2.37358e-007    6.29e-010      
  0.22            4.41686e-007    2.551e-009     
  0.24            8.18875e-007    -6.835e-009    
  0.26            1.50665e-006    -3.6e-010      
  0.28            2.74878e-006    2.865e-009     
  0.3             4.95021e-006    1.77e-010      
  0.32            8.75294e-006    -1.431e-009    
  0.34            1.51631e-005    -1.648e-009    
  0.36            2.56713e-005    -2.7e-010      
  0.38            4.23316e-005    2.14e-010      
  0.4             6.79004e-005    -1.168e-009    
  0.42            0.000105709     1.179e-009     
  0.44            0.000159842     -1e-012        
  0.46            0.000234627     1.887e-009     
  0.48            0.000334788     -3.95e-010     
  0.5             0.000464581     -2.249e-009    
  0.52            0.000628408     -9.1e-010      
  0.54            0.000829566     1.001e-009     
  0.56            0.00107038      1.66e-009      
  0.58            0.00135419      1.575e-009     
  0.6             0.00168143      2.312e-009     
  0.62            0.0020526       -1.25e-010     
  0.64            0.00246747      -1.736e-009    
  0.66            0.0029255       2.048e-009     
  0.68            0.00342498      1.491e-009     
  0.7             0.00396429      -6.399e-009    
  0.72            0.00454169      2.627e-009     
  0.74            0.0051544       -5.87e-010     
  0.76            0.00580102      -2.29e-010     
  0.78            0.00647897      -5.493e-009    
  0.8             0.00718493      2.832e-009     
  0.82            0.0079174       -3.72e-010     
  0.84            0.00867439      3.107e-009     
  0.86            0.00945306      1.817e-009     
  0.88            0.0102526       -2.3447e-009   
  0.9             0.0110691       2.902e-009     
  0.92            0.0118987       2.462e-009     
  0.94            0.0127459       3.89e-010      
  0.96            0.0136054       -4.5e-011      
  0.98            0.0144763       1.528e-009     
  1               0.015357        3.401e-009     
  1.02            0.0162465       -4.869e-009    
  1.04            0.0171468       -6.73e-010     
  1.06            0.0180498       1.59e-010      
  1.08            0.0189582       1.404e-009     
  1.1             0.0198732       6.1e-010       
  1.12            0.0207905       4.0426e-009    
  1.14            0.0217096       -1.018e-009    
  1.16            0.0226315       6.272e-009     
  1.18            0.0235561       -4e-010        
  1.2             0.0244814       2.553e-009     
END_DB

