! VERSION = 6.00
BEGIN_HEADER
 ICCAP_INPUTS
  Vg         V  G GROUND gate 0.1 LIN        1    -0.2       1.2        71   0.02      
  Vd         V  D GROUND drain 0.1 LIN        2    0.04       1.2        2    1.16      
  Vs         V  S GROUND source 0.1 CON        0
  Vb         V  B GROUND bulk 0.1 CON        0
 ICCAP_OUTPUTS
  Id         I  D GROUND drain B
  Ig         I  G GROUND gate B
END_HEADER

BEGIN_DB
 ICCAP_VAR Vd         0.04           
 ICCAP_VAR Vs         0              
 ICCAP_VAR Vb         0              

 #Vg              Id              Ig             
  -0.2            1.195e-009      -9.1e-011      
  -0.18           1.223e-009      5.65e-010      
  -0.16           2.8e-011        3.001e-009     
  -0.14           7.1e-011        2.079e-009     
  -0.12           8.57e-010       2.18e-010      
  -0.1            3.4e-011        2.8171e-009    
  -0.08           2.16e-010       -2.393e-009    
  -0.06           -2.217e-009     -3.37e-010     
  -0.04           2.067e-009      -2.5e-010      
  -0.02           -5.2e-011       -3.4184e-009   
  0               -7.209e-009     7.81e-010      
  0.02            -3.59e-010      -2.026e-009    
  0.04            -5.361e-009     1.82e-009      
  0.06            1.685e-009      2.72e-010      
  0.08            2.63e-009       -5.246e-009    
  0.1             5.168e-009      -1.25e-009     
  0.12            8.999e-009      1.261e-009     
  0.14            2.0386e-008     1.56e-010      
  0.16            3.2259e-008     1.321e-009     
  0.18            5.8979e-008     2.586e-009     
  0.2             1.09744e-007    -7.22e-010     
  0.22            2.03402e-007    3.8952e-009    
  0.24            3.73871e-007    2.965e-009     
  0.26            6.834e-007      -6.13e-010     
  0.28            1.23437e-006    -1.156e-009    
  0.3             2.20456e-006    3.5e-010       
  0.32            3.86722e-006    -1.2e-009      
  0.34            6.62904e-006    1.92e-009      
  0.36            1.10755e-005    2.528e-009     
  0.38            1.79771e-005    -6.698e-009    
  0.4             2.82807e-005    -1.388e-009    
  0.42            4.30369e-005    3.0775e-009    
  0.44            6.34147e-005    -2.165e-009    
  0.46            9.02548e-005    1.846e-009     
  0.48            0.00012436      3.302e-009     
  0.5             0.000166249     -2.394e-009    
