! VERSION = 6.00
BEGIN_HEADER
 ICCAP_INPUTS
  Vg         V  G GROUND gate 0.1 LIN        1    -0.2       1.2        71   0.02      
  Vd         V  D GROUND drain 0.1 LIN        2    0.04       1.2        2    1.16      
  Vs         V  S GROUND source 0.1 CON        0
  Vb         V  B GROUND bulk 0.1 CON        0
 ICCAP_OUTPUTS
  Id         I  D GROUND drain B
  Ig         I  G GROUND gate B
END_HEADER

BEGIN_DB
 ICCAP_VAR Vd         0.04           
 ICCAP_VAR Vs         0              
 ICCAP_VAR Vb         0              

 #Vg              Id              Ig             
  -0.2            1.149e-009      -1.4e-009      
  -0.18           6.69e-010       -2.49e-010     
  -0.16           -5.04e-010      2.096e-009     
  -0.14           2.511e-009      3.78e-010      
  -0.12           -2.12e-009      -3.17e-010     
  -0.1            6.75e-010       -2.91e-010     
  -0.08           2e-011          2.73e-009      
  -0.06           9.5e-011        -1.43e-009     
  -0.04           4.02e-010       1.895e-009     
  -0.02           3.46e-010       -6.86e-010     
  0               -3.77e-010      -7.166e-009    
  0.02            7.61e-010       -1.544e-009    
  0.04            5.3e-010        1.414e-009     
  0.06            4.702e-009      3.14e-010      
  0.08            4.457e-009      -8.4e-011      
  0.1             5.885e-009      2.881e-009     
  0.12            1.2611e-008     -2.12e-010     
  0.14            1.6308e-008     -3.8e-011      
  0.16            3.3903e-008     3.2207e-009    
  0.18            6.77418e-008    3.041e-009     
  0.2             1.12701e-007    8.4e-011       
  0.22            2.07575e-007    2.28e-009      
  0.24            3.76745e-007    -1.34e-009     
  0.26            6.81245e-007    6.734e-009     
  0.28            1.22219e-006    -1.79e-009     
  0.3             2.16603e-006    -1.621e-009    
  0.32            3.78251e-006    -9.41e-010     
  0.34            6.48568e-006    3.08e-010      
  0.36            1.08762e-005    2.522e-009     
  0.38            1.77897e-005    2.5581e-009    
  0.4             2.83269e-005    1.667e-009     
  0.42            4.37269e-005    -5.056e-009    
  0.44            6.54557e-005    1.963e-009     
  0.46            9.47827e-005    -9.84e-010     
  0.48            0.000132911     -2.525e-009    
  0.5             0.000180664     2.366e-009     
